fill	x	y	clickSelects
#FDFDFE	13.4	52.5	103840
#FFFFFF	5.2	52.1	62600
#FEFEFF	17.6	59.9	24581
#FFFFFF	30.1	60	260630
#FCFCFD	13.2	55.7	26180
#F4F2F9	7.6	45	160590
#F0EEF7	6.1	46.1	67000
#F2F0F8	7.5	47.5	66450
#FEFEFF	17.9	59.4	24640
#FDFDFE	18.1	59.3	24851
#FBFAFD	8.7	50.1	106380
#FFFFFF	-75.3	39.9	724080
#F4F2F9	7.7	45.1	160600
#FFFEFF	12.9	63.5	12710
#FAF9FC	9.2	45.5	160811
#FDFDFE	2.5	49	71500
#EFEDF7	14.1	48.1	110120
#FFFFFF	12.5	55.7	61860
#F0EEF7	14.3	50.1	115180
#F0EEF7	12.1	49.1	107760
#FEFEFF	11.9	45.4	160950
#F7F5FA	16.4	48.3	110350
#E9E6F3	7.5	47	66310
#E7E3F2	11.4	47.3	113200
#F9F8FC	25.1	54.6	267300
#FAFAFD	8.4	49	107270
#FBFAFD	21	52.2	123750
#F9F8FC	37.1	55.8	276120
#FAF9FC	19.3	47.4	128390
#FAF9FC	19.2	47.4	128430
#FFFFFF	-72.9	41.3	725045
#D7D2EA	11	47.8	109620
#EAE7F4	11.6	48.2	108650
#FDFDFE	-51.8	64.2	42500
#FDFCFE	57.5	-20.1	619930
#FEFEFE	-6.2	36.5	84530
#FCFCFE	10.9	45.4	160900
#F2F1F8	9.2	48.8	107390
#FBFAFD	4.4	50.8	64470
#FEFEFE	24.1	57	264220
#FFFEFF	20.3	63.8	22860
#7F7F7F	22	63.2	29117
#FFFEFF	-2.9	56.4	31710
#7F7F7F	23.8	66.4	28440
#F9F8FC	7.6	48.6	71900
#FDFDFE	13.2	46.1	160450
#F1EFF7	17.8	50.2	117357
#FBFBFD	4.4	48.9	71007
#FFFFFF	7.2	43.7	76900
#FEFDFE	24.1	59.4	260380
#FEFEFE	-46.1	60.7	42720
#FEFEFE	-51.1	69.2	42160
#FFFEFF	18.6	54.4	121500
#FEFEFF	32	47	338460
#FFFFFF	12.2	41.8	162420
#F7F6FB	-71.1	42.2	744920
#F5F4FA	13.7	51.1	94860
#F8F7FB	30.1	50.4	333450
#FAFAFC	49	55.7	275950
#EDEAF5	14.3	46.7	112310
#ECEAF5	11	48.4	108520
#FFFFFF	40.1	64.5	225500
#F2F0F8	11.6	49.9	106877
#FDFCFE	11.3	44.5	161400
#F7F6FB	11.1	46.1	160230
#F4F3F9	14.3	48.3	110600
#F3F1F9	14.2	48.2	110100
#F8F6FB	11.1	46	160207
#FFFEFF	5.3	60.4	13170
#FBFBFD	10.7	60	14920
#7F7F7F	24.7	65	28740
#7F7F7F	15.3	48.6	110207
#F6F5FA	8.1	51.4	104247
#FAFAFC	50	61.7	238040
#ACA3D2	6.1	45.8	73907
#FCFCFD	7.6	50.4	105150
#7F7F7F	21.8	55.1	266150
#ECEAF5	104.4	52.3	307100
#FCFBFD	-73.8	42.7	725180
#F8F7FB	34.1	44.7	339460
#FDFDFE	30.1	46.4	338370
#FFFFFF	-73.9	40.8	725030
#F5F4FA	16.5	50.5	114055
#7F7F7F	11.9	51.8	94557
#E8E4F2	17.3	50.3	125307
#DBD6EB	11.3	50.8	94998
#FFFFFF	23.7	56.7	264250
#FEFEFF	-80	32.9	722080
#FFFFFF	-22.7	65.1	40130
#7F7F7F	-61.2	13.2	788877
#FDFCFE	25.6	58.4	262330
#FDFDFE	33.5	44.6	339467
#F2F0F8	23.1	49.8	333930
#FFFFFF	-82.5	28	722110
#F8F7FB	28.2	47	338150
#F6F5FA	20	50	125660
#FCFBFD	10.5	52.3	103480
#F3F2F9	-76.8	44.5	726175
#FFFFFF	4	43.6	76430
#FEFEFE	-2.9	59	30170
#FCFBFD	-1.2	60.1	30050
#F3F2F9	14.2	50.8	114058
#7F7F7F	13.1	54.3	95599
#FFFFFF	24	58.4	262310
#FEFEFF	10.8	45.2	161331
#F8F7FB	11.4	47.3	111197
#7F7F7F	19.4	54.2	121600
#FFFFFF	8.8	53.1	102240
#FDFDFE	25	60.3	29740
#FFFFFF	25	60.2	29780
#FEFEFF	31.1	70.4	10980
#E5E1F1	12.7	54.1	90927
#EDEAF5	22.1	53.8	121907
#F9F8FC	8.7	49.9	106390
#E9E6F3	8.5	47.3	66600
#F2F0F8	22.5	68.4	20800
#F8F7FB	-77.7	43.1	725290
#FAF9FC	16.9	51.1	124240
#F4F2F9	60.1	56.8	284400
#7F7F7F	12.2	54.1	90917
#FCFCFD	11.3	43.8	161700
#FFFFFF	-43.2	-22.9	837430
#FEFEFF	-135.3	57.1	703710
#FAFAFC	55.1	51.7	351210
#FDFDFE	68.1	58.2	282750
#EDEAF5	34.6	44.9	339667
#F9F8FC	11.6	50.9	94999
#FDFDFE	8.9	44.4	161210
#F8F7FB	6.1	50.8	105010
#F5F4FA	36	51.8	340090
#FBFAFD	129.7	62	249590
#FEFEFE	65.1	63.9	236310
#FCFBFD	8.4	51.9	999050
#7F7F7F	31.3	58.5	261790
#F9F8FC	44	56.2	274590
#FFFFFF	-78	34	720403
#FFFFFF	-79.9	32.8	720467
#FFFFFF	-89.4	30.3	756277
#FDFDFE	-74	40.8	720381
#FEFEFF	-70.9	41.6	720223
#F8F7FB	-72.3	43.7	720349
#FDFDFE	-73.9	41.6	756379
#F3F2F9	-76.4	42.4	720376
#FDFDFE	2.9	42.7	77470
#F5F4FA	15	51.2	104990
#FFFFFF	14.6	53.4	122050
#FAFAFC	44.5	48.6	345610
#F9F8FC	46	51.6	341720
#FFFFFF	-76.6	39.3	756192
#F2F0F8	-83.6	39.2	753041
#FDFDFE	-72.5	42.4	720218
#FFFFFF	-73.7	42.8	756384
#FBFAFD	56.8	59.3	280260
#EFECF6	59.7	55.2	268300
#FDFCFE	39.3	48.6	999004
#FCFCFE	76.9	8.4	433710
#F0EEF7	15.5	47.1	112900
#FFFEFE	47.2	46.3	348800
#F9F8FC	84.1	56.5	294300
#F4F3F9	-78.5	38	720539
#FDFDFE	-69.8	44.2	756185
#FDFDFE	44.6	48.5	345607
#7F7F7F	13.5	50.5	116587
#F7F6FB	60.1	59.8	999005
#FFFFFF	5.2	43.4	76500
#F8F7FB	83	53.4	298380
#FCFBFD	-75.4	44.7	720382
#F7F6FB	24.8	45.9	152577
#F7F5FA	59.9	57.9	282400
#FFFFFF	24.1	59.4	999003
#FDFDFE	29.1	41	170620
#F9F8FC	1.4	43.6	76300
#FEFDFE	51.1	51.3	351080
#E6E3F2	119.6	51.3	308790
#F8F7FB	-77.2	39.8	756490
#F9F9FC	12.4	51.4	94700
#FAFAFD	-79.4	43.7	715080
#FFFFFF	-80.4	27.5	756068
#E9E6F3	7.3	45.7	160540
#FFFFFF	147.5	-42.8	949750
#FDFDFE	116.3	39.9	545110
#FCFCFE	13.8	45.7	161100
#F6F5FA	-78.7	42.9	725280
#FDFCFE	43.6	56.5	274537
#EDEAF5	13	47.8	111500
#FAF9FC	40	57.7	273330
#FEFEFE	35.5	33.9	401000
#FEFEFE	158.6	52.9	325830
#FFFFFF	143.2	59.4	310880
#F7F6FB	52	55.7	285060
#FEFEFE	77.8	64.9	235520
#FDFDFE	87.1	65.8	234720
#F5F3F9	-94.7	37.8	720167
#FAF9FC	-76.1	43.1	725190
#FEFEFF	29.8	60	260637
#EDEAF5	44.1	41.7	375490
#FDFCFE	-6.7	54.4	39172
#F9F8FC	-79.1	35.9	720388
