xmin	xmax	ymin	ymax	clickSelects
-120	-115	-85	-80	132
165	170	-80	-75	147
105	110	-80	-75	159
95	100	-80	-75	161
-30	-25	-80	-75	186
-40	-35	-80	-75	188
-45	-40	-80	-75	189
-85	-80	-80	-75	197
-165	-160	-80	-75	213
170	175	-75	-70	218
20	25	-75	-70	248
10	15	-75	-70	250
-5	0	-75	-70	253
-140	-135	-75	-70	280
155	160	-70	-65	293
140	145	-70	-65	296
135	140	-70	-65	297
110	115	-70	-65	302
100	105	-70	-65	304
95	100	-70	-65	305
90	95	-70	-65	306
75	80	-70	-65	309
60	65	-70	-65	312
45	50	-70	-65	315
35	40	-70	-65	317
-60	-55	-70	-65	336
-65	-60	-70	-65	337
-70	-65	-70	-65	338
-45	-40	-65	-60	405
-50	-45	-65	-60	406
-60	-55	-65	-60	408
-65	-60	-65	-60	409
165	170	-55	-50	507
155	160	-55	-50	509
70	75	-55	-50	526
-40	-35	-55	-50	548
-60	-55	-55	-50	552
-65	-60	-55	-50	553
-70	-65	-55	-50	554
-75	-70	-55	-50	555
-80	-75	-55	-50	556
170	175	-50	-45	578
165	170	-50	-45	579
70	75	-50	-45	598
50	55	-50	-45	602
35	40	-50	-45	605
-70	-65	-50	-45	626
-75	-70	-50	-45	627
-80	-75	-50	-45	628
170	175	-45	-40	650
145	150	-45	-40	655
-10	-5	-45	-40	686
-60	-55	-45	-40	696
-65	-60	-45	-40	697
-70	-65	-45	-40	698
-75	-70	-45	-40	699
-180	-175	-45	-40	720
175	180	-40	-35	721
170	175	-40	-35	722
150	155	-40	-35	726
145	150	-40	-35	727
140	145	-40	-35	728
135	140	-40	-35	729
75	80	-40	-35	741
-15	-10	-40	-35	759
-55	-50	-40	-35	767
-60	-55	-40	-35	768
-65	-60	-40	-35	769
-70	-65	-40	-35	770
-75	-70	-40	-35	771
155	160	-35	-30	797
150	155	-35	-30	798
145	150	-35	-30	799
140	145	-35	-30	800
135	140	-35	-30	801
130	135	-35	-30	802
125	130	-35	-30	803
120	125	-35	-30	804
115	120	-35	-30	805
30	35	-35	-30	822
25	30	-35	-30	823
20	25	-35	-30	824
15	20	-35	-30	825
-55	-50	-35	-30	839
-60	-55	-35	-30	840
-65	-60	-35	-30	841
-70	-65	-35	-30	842
-75	-70	-35	-30	843
-80	-75	-35	-30	844
165	170	-30	-25	867
150	155	-30	-25	870
145	150	-30	-25	871
140	145	-30	-25	872
135	140	-30	-25	873
130	135	-30	-25	874
125	130	-30	-25	875
120	125	-30	-25	876
115	120	-30	-25	877
110	115	-30	-25	878
45	50	-30	-25	891
30	35	-30	-25	894
25	30	-30	-25	895
20	25	-30	-25	896
15	20	-30	-25	897
-50	-45	-30	-25	910
-55	-50	-30	-25	911
-60	-55	-30	-25	912
-65	-60	-30	-25	913
-70	-65	-30	-25	914
-75	-70	-30	-25	915
-110	-105	-30	-25	922
-135	-130	-30	-25	927
-145	-140	-30	-25	929
-180	-175	-30	-25	936
165	170	-25	-20	939
160	165	-25	-20	940
150	155	-25	-20	942
145	150	-25	-20	943
140	145	-25	-20	944
135	140	-25	-20	945
130	135	-25	-20	946
120	125	-25	-20	948
115	120	-25	-20	949
110	115	-25	-20	950
55	60	-25	-20	961
45	50	-25	-20	963
40	45	-25	-20	964
35	40	-25	-20	965
30	35	-25	-20	966
25	30	-25	-20	967
20	25	-25	-20	968
15	20	-25	-20	969
-30	-25	-25	-20	978
-45	-40	-25	-20	981
-50	-45	-25	-20	982
-55	-50	-25	-20	983
-60	-55	-25	-20	984
-65	-60	-25	-20	985
-70	-65	-25	-20	986
-75	-70	-25	-20	987
-135	-130	-25	-20	999
-150	-145	-25	-20	1002
-155	-150	-25	-20	1003
-160	-155	-25	-20	1004
-180	-175	-25	-20	1008
175	180	-20	-15	1009
165	170	-20	-15	1011
150	155	-20	-15	1014
145	150	-20	-15	1015
140	145	-20	-15	1016
135	140	-20	-15	1017
130	135	-20	-15	1018
125	130	-20	-15	1019
120	125	-20	-15	1020
60	65	-20	-15	1032
55	60	-20	-15	1033
50	55	-20	-15	1034
45	50	-20	-15	1035
40	45	-20	-15	1036
35	40	-20	-15	1037
30	35	-20	-15	1038
25	30	-20	-15	1039
20	25	-20	-15	1040
15	20	-20	-15	1041
10	15	-20	-15	1042
-10	-5	-20	-15	1046
-40	-35	-20	-15	1052
-45	-40	-20	-15	1053
-50	-45	-20	-15	1054
-55	-50	-20	-15	1055
-60	-55	-20	-15	1056
-65	-60	-20	-15	1057
-70	-65	-20	-15	1058
-75	-70	-20	-15	1059
-80	-75	-20	-15	1060
-145	-140	-20	-15	1073
-150	-145	-20	-15	1074
-155	-150	-20	-15	1075
-160	-155	-20	-15	1076
-175	-170	-20	-15	1079
-180	-175	-20	-15	1080
175	180	-15	-10	1081
165	170	-15	-10	1083
140	145	-15	-10	1088
135	140	-15	-10	1089
130	135	-15	-10	1090
125	130	-15	-10	1091
105	110	-15	-10	1095
95	100	-15	-10	1097
55	60	-15	-10	1105
50	55	-15	-10	1106
45	50	-15	-10	1107
40	45	-15	-10	1108
35	40	-15	-10	1109
30	35	-15	-10	1110
25	30	-15	-10	1111
20	25	-15	-10	1112
15	20	-15	-10	1113
10	15	-15	-10	1114
-40	-35	-15	-10	1124
-45	-40	-15	-10	1125
-50	-45	-15	-10	1126
-60	-55	-15	-10	1128
-65	-60	-15	-10	1129
-70	-65	-15	-10	1130
-75	-70	-15	-10	1131
-80	-75	-15	-10	1132
-140	-135	-15	-10	1144
-145	-140	-15	-10	1145
-165	-160	-15	-10	1149
-170	-165	-15	-10	1150
-175	-170	-15	-10	1151
-180	-175	-15	-10	1152
175	180	-10	-5	1153
160	165	-10	-5	1156
155	160	-10	-5	1157
145	150	-10	-5	1159
140	145	-10	-5	1160
130	135	-10	-5	1162
125	130	-10	-5	1163
120	125	-10	-5	1164
115	120	-10	-5	1165
110	115	-10	-5	1166
105	110	-10	-5	1167
70	75	-10	-5	1174
35	40	-10	-5	1181
30	35	-10	-5	1182
25	30	-10	-5	1183
20	25	-10	-5	1184
15	20	-10	-5	1185
10	15	-10	-5	1186
-15	-10	-10	-5	1191
-35	-30	-10	-5	1195
-40	-35	-10	-5	1196
-45	-40	-10	-5	1197
-50	-45	-10	-5	1198
-55	-50	-10	-5	1199
-60	-55	-10	-5	1200
-65	-60	-10	-5	1201
-70	-65	-10	-5	1202
-75	-70	-10	-5	1203
-80	-75	-10	-5	1204
-85	-80	-10	-5	1205
-140	-135	-10	-5	1216
-160	-155	-10	-5	1220
-175	-170	-10	-5	1223
175	180	-5	0	1225
165	170	-5	0	1227
150	155	-5	0	1230
145	150	-5	0	1231
140	145	-5	0	1232
135	140	-5	0	1233
130	135	-5	0	1234
120	125	-5	0	1236
115	120	-5	0	1237
110	115	-5	0	1238
105	110	-5	0	1239
100	105	-5	0	1240
70	75	-5	0	1246
55	60	-5	0	1249
35	40	-5	0	1253
30	35	-5	0	1254
25	30	-5	0	1255
20	25	-5	0	1256
15	20	-5	0	1257
10	15	-5	0	1258
5	10	-5	0	1259
0	5	-5	0	1260
-35	-30	-5	0	1267
-40	-35	-5	0	1268
-45	-40	-5	0	1269
-50	-45	-5	0	1270
-55	-50	-5	0	1271
-60	-55	-5	0	1272
-65	-60	-5	0	1273
-70	-65	-5	0	1274
-75	-70	-5	0	1275
-80	-75	-5	0	1276
-85	-80	-5	0	1277
-90	-85	-5	0	1278
-155	-150	-5	0	1291
-170	-165	-5	0	1294
-175	-170	-5	0	1295
170	175	0	5	1298
125	130	0	5	1307
120	125	0	5	1308
115	120	0	5	1309
110	115	0	5	1310
105	110	0	5	1311
100	105	0	5	1312
95	100	0	5	1313
45	50	0	5	1323
40	45	0	5	1324
35	40	0	5	1325
30	35	0	5	1326
25	30	0	5	1327
20	25	0	5	1328
15	20	0	5	1329
10	15	0	5	1330
5	10	0	5	1331
-5	0	0	5	1333
-10	-5	0	5	1334
-55	-50	0	5	1343
-60	-55	0	5	1344
-65	-60	0	5	1345
-70	-65	0	5	1346
-75	-70	0	5	1347
-80	-75	0	5	1348
-95	-90	0	5	1351
-160	-155	0	5	1364
170	175	5	10	1370
165	170	5	10	1371
160	165	5	10	1372
