x	y	label	showSelected1	group
-2.5	5	1 station	132	-1
-2.5	5	2 stations	147	-1
-2.5	5	1 station	159	-1
-2.5	5	1 station	161	-1
-2.5	5	1 station	186	-1
-2.5	5	1 station	188	-1
-2.5	5	1 station	189	-1
-2.5	5	1 station	197	-1
-2.5	5	1 station	213	-1
-2.5	5	1 station	218	-1
-2.5	5	1 station	248	-1
-2.5	5	1 station	250	-1
-2.5	5	1 station	253	-1
-2.5	5	1 station	280	-1
-2.5	5	1 station	293	-1
-2.5	5	1 station	296	-1
-2.5	5	1 station	297	-1
-2.5	5	1 station	302	-1
-2.5	5	1 station	304	-1
-2.5	5	1 station	305	-1
-2.5	5	1 station	306	-1
-2.5	5	1 station	309	-1
-2.5	5	1 station	312	-1
-2.5	5	1 station	315	-1
-2.5	5	1 station	317	-1
-2.5	5	1 station	336	-1
-2.5	5	1 station	337	-1
-2.5	5	3 stations	338	-1
-2.5	5	1 station	405	-1
-2.5	5	1 station	406	-1
-2.5	5	9 stations	408	-1
-2.5	5	3 stations	409	-1
-2.5	5	1 station	507	-1
-2.5	5	1 station	509	-1
-2.5	5	1 station	526	-1
-2.5	5	1 station	548	-1
-2.5	5	3 stations	552	-1
-2.5	5	1 station	553	-1
-2.5	5	7 stations	554	-1
-2.5	5	4 stations	555	-1
-2.5	5	2 stations	556	-1
-2.5	5	2 stations	578	-1
-2.5	5	2 stations	579	-1
-2.5	5	1 station	598	-1
-2.5	5	1 station	602	-1
-2.5	5	1 station	605	-1
-2.5	5	5 stations	626	-1
-2.5	5	2 stations	627	-1
-2.5	5	2 stations	628	-1
-2.5	5	4 stations	650	-1
-2.5	5	21 stations	655	-1
-2.5	5	1 station	686	-1
-2.5	5	1 station	696	-1
-2.5	5	3 stations	697	-1
-2.5	5	3 stations	698	-1
-2.5	5	9 stations	699	-1
-2.5	5	1 station	720	-1
-2.5	5	2 stations	721	-1
-2.5	5	6 stations	722	-1
-2.5	5	4 stations	726	-1
-2.5	5	26 stations	727	-1
-2.5	5	27 stations	728	-1
-2.5	5	10 stations	729	-1
-2.5	5	1 station	741	-1
-2.5	5	1 station	759	-1
-2.5	5	1 station	767	-1
-2.5	5	10 stations	768	-1
-2.5	5	13 stations	769	-1
-2.5	5	6 stations	770	-1
-2.5	5	13 stations	771	-1
-2.5	5	1 station	797	-1
-2.5	5	25 stations	798	-1
-2.5	5	30 stations	799	-1
-2.5	5	10 stations	800	-1
-2.5	5	25 stations	801	-1
-2.5	5	6 stations	802	-1
-2.5	5	3 stations	803	-1
-2.5	5	6 stations	804	-1
-2.5	5	29 stations	805	-1
-2.5	5	3 stations	822	-1
-2.5	5	7 stations	823	-1
-2.5	5	5 stations	824	-1
-2.5	5	6 stations	825	-1
-2.5	5	9 stations	839	-1
-2.5	5	20 stations	840	-1
-2.5	5	15 stations	841	-1
-2.5	5	14 stations	842	-1
-2.5	5	7 stations	843	-1
-2.5	5	1 station	844	-1
-2.5	5	1 station	867	-1
-2.5	5	35 stations	870	-1
-2.5	5	12 stations	871	-1
-2.5	5	4 stations	872	-1
-2.5	5	3 stations	873	-1
