fill	x	y	tooltip	clickSelects	showSelected1
#FDFDFE	-1.6	2.5	BERLIN GERMANY Elev=50	103840	2050
#FFFFFF	-4.8	2.1	DE BILT NETHERLANDS Elev=2	62600	2051
#FEFEFF	-2.4	4.9	UPPSALA SWEDEN Elev=13	24581	2121
#FFFFFF	-4.9	5	ST.-PETERSBURG RUSSIA Elev=3	260630	2118
#FCFCFD	-1.8	0.700000000000003	LUND SWEDEN Elev=73	26180	2122
#F4F2F9	-2.4	5	Torino ITALY Elev=275	160590	1907
#F0EEF7	-3.9	1.1	Geneve-Cointrin SWITZERLAND Elev=380	67000	1979
#F2F0F8	-2.5	2.5	Basel-Binningen SWITZERLAND Elev=316	66450	1979
#FEFEFF	-2.1	4.4	STOCKHOLM/BROMMA SWEDEN Elev=14	24640	2121
#FDFDFE	-1.9	4.3	STOCKHOLM SWEDEN Elev=44	24851	2121
#FBFAFD	-1.3	0.100000000000001	FRANKFURT A MAIN GERMANY Elev=109	106380	2051
#FFFFFF	-0.299999999999997	4.9	PHILADELPHIA, PA USA Elev=9	724080	1852
#F4F2F9	-2.3	0.100000000000001	Torino ITALY Elev=275	160600	1979
#FFFEFF	-2.1	3.5	Trondheim/Vaernes NORWAY Elev=12	12710	2194
#FAF9FC	-0.800000000000001	0.5	Milano-Brera ITALY Elev=122	160811	1979
#FDFDFE	-2.5	4	PARIS/LE BOURGET FRANCE Elev=51	71500	1980
#EFEDF7	-0.9	3.1	Kremsmunster AUSTRIA Elev=389	110120	1978
#FFFFFF	-2.5	0.700000000000003	Koebenhavn DENMARK Elev=9	61860	2122
#F0EEF7	-0.699999999999999	0.100000000000001	PRAHA/RUZYNE AIRPORT CZECH REPUBLI Elev=364	115180	2050
#F0EEF7	-2.9	4.1	Regensburg GERMANY Elev=366	107760	1978
#FEFEFF	-3.1	0.399999999999999	Padova ITALY Elev=14	160950	1978
#F7F5FA	-3.6	3.3	Wien-Hohe Warte AUSTRIA Elev=209	110350	1977
#E9E6F3	-2.5	2	Bern-Zollikofen SWITZERLAND Elev=552	66310	1979
#E7E3F2	-3.6	2.3	Innsbruck-Universita AUSTRIA Elev=609	113200	1978
#F9F8FC	-4.9	4.6	VILNIUS LITHUANIA Elev=156	267300	2047
#FAFAFD	-1.6	4	Karlsruhe GERMANY Elev=112	107270	1979
#FBFAFD	-4	2.2	WARSAW-OKECIE POLAND Elev=107	123750	2048
#F9F8FC	-2.9	0.799999999999997	MOSKVA RUSSIA Elev=147	276120	2117
#FAF9FC	-0.699999999999999	2.4	Budapest - Lorinc Ai HUNGARY Elev=130	128390	1977
#FAF9FC	-0.800000000000001	2.4	Budapest - Lorinc Ai HUNGARY Elev=130	128430	1977
#FFFFFF	-2.90000000000001	1.3	NEW HAVEN, CONNECTIC USA Elev=7	725045	1923
#D7D2EA	-4	2.8	Hohenpeisenberg GERMANY Elev=986	109620	1978
#EAE7F4	-3.4	3.2	Munchen-Stadt GERMANY Elev=525	108650	1978
#FDFDFE	-1.8	4.2	GODTHAB/NUUK GREENLAND Elev=50	42500	2207
#FDFCFE	-2.5	4.9	PAMPLEMOUSSES MAURITIUS Elev=55	619930	961
#FEFEFE	-1.2	1.5	CADIZ-SAN FERNANDO SPAIN Elev=30	84530	1838
#FCFCFE	-4.1	0.399999999999999	Verona-Villafranca a ITALY Elev=67	160900	1978
#F2F1F8	-0.800000000000001	3.8	Stuttgart-Schnarrenb GERMANY Elev=311	107390	1979
#FBFAFD	-0.6	0.799999999999997	BRUSSELS/UCCLE/CBT BELGIUM Elev=100	64470	2052
#FEFEFE	-0.899999999999999	2	RIGA LATVIA Elev=26	264220	2120
#FFFEFF	-4.7	3.8	UMEA SWEDEN Elev=12	22860	2192
#7F7F7F	-3	3.2	VOYRI FINLAND Elev=NA	29117	2192
#FFFEFF	-2.9	1.4	LEUCHARS UK Elev=12	31710	2125
