x	y	label	clickSelects	showSelected1	showSelected2	group
-1.6	2.5	BERLIN GERMANY	103840	2050	103840	1
-4.8	2.1	DE BILT NETHERLANDS	62600	2051	62600	2
-2.4	4.9	UPPSALA SWEDEN	24581	2121	24581	3
-4.9	5	ST.-PETERSBURG RUSSIA	260630	2118	260630	4
-1.8	0.700000000000003	LUND SWEDEN	26180	2122	26180	5
-2.4	5	Torino ITALY	160590	1907	160590	6
-3.9	1.1	Geneve-Cointrin SWITZERLAND	67000	1979	67000	7
-2.5	2.5	Basel-Binningen SWITZERLAND	66450	1979	66450	8
-2.1	4.4	STOCKHOLM/BROMMA SWEDEN	24640	2121	24640	9
-1.9	4.3	STOCKHOLM SWEDEN	24851	2121	24851	10
-1.3	0.100000000000001	FRANKFURT A MAIN GERMANY	106380	2051	106380	11
-0.299999999999997	4.9	PHILADELPHIA, PA USA	724080	1852	724080	12
-2.3	0.100000000000001	Torino ITALY	160600	1979	160600	13
-2.1	3.5	Trondheim/Vaernes NORWAY	12710	2194	12710	14
-0.800000000000001	0.5	Milano-Brera ITALY	160811	1979	160811	15
-2.5	4	PARIS/LE BOURGET FRANCE	71500	1980	71500	16
-0.9	3.1	Kremsmunster AUSTRIA	110120	1978	110120	17
-2.5	0.700000000000003	Koebenhavn DENMARK	61860	2122	61860	18
-0.699999999999999	0.100000000000001	PRAHA/RUZYNE AIRPORT CZECH REPUBLI	115180	2050	115180	19
-2.9	4.1	Regensburg GERMANY	107760	1978	107760	20
-3.1	0.399999999999999	Padova ITALY	160950	1978	160950	21
-3.6	3.3	Wien-Hohe Warte AUSTRIA	110350	1977	110350	22
-2.5	2	Bern-Zollikofen SWITZERLAND	66310	1979	66310	23
-3.6	2.3	Innsbruck-Universita AUSTRIA	113200	1978	113200	24
-4.9	4.6	VILNIUS LITHUANIA	267300	2047	267300	25
-1.6	4	Karlsruhe GERMANY	107270	1979	107270	26
-4	2.2	WARSAW-OKECIE POLAND	123750	2048	123750	27
-2.9	0.799999999999997	MOSKVA RUSSIA	276120	2117	276120	28
-0.699999999999999	2.4	Budapest - Lorinc Ai HUNGARY	128390	1977	128390	29
-0.800000000000001	2.4	Budapest - Lorinc Ai HUNGARY	128430	1977	128430	30
-2.90000000000001	1.3	NEW HAVEN, CONNECTIC USA	725045	1923	725045	31
-4	2.8	Hohenpeisenberg GERMANY	109620	1978	109620	32
-3.4	3.2	Munchen-Stadt GERMANY	108650	1978	108650	33
-1.8	4.2	GODTHAB/NUUK GREENLAND	42500	2207	42500	34
-2.5	4.9	PAMPLEMOUSSES MAURITIUS	619930	961	619930	35
-1.2	1.5	CADIZ-SAN FERNANDO SPAIN	84530	1838	84530	36
-4.1	0.399999999999999	Verona-Villafranca a ITALY	160900	1978	160900	37
-0.800000000000001	3.8	Stuttgart-Schnarrenb GERMANY	107390	1979	107390	38
-0.6	0.799999999999997	BRUSSELS/UCCLE/CBT BELGIUM	64470	2052	64470	39
-0.899999999999999	2	RIGA LATVIA	264220	2120	264220	40
-4.7	3.8	UMEA SWEDEN	22860	2192	22860	41
-3	3.2	VOYRI FINLAND	29117	2192	29117	42
-2.9	1.4	LEUCHARS UK	31710	2125	31710	43
-1.2	1.40000000000001	TORNIO FINLAND	28440	2264	28440	44
-2.4	3.6	Strasbourg - Entzhei FRANCE	71900	1979	71900	45
-1.8	1.1	Udine ITALY	160450	1978	160450	46
-2.2	0.200000000000003	LEOBSCHUTZ CZECH REPUB.	117357	2049	117357	47
-0.6	3.9	CHALONS FRANCE	71007	1980	71007	48
-2.8	3.7	Nice airport FRANCE	76900	1907	76900	49
-0.899999999999999	4.4	TALLINN ESTONIA	260380	2120	260380	50
-1.1	0.700000000000003	JULIANEHAB/QAQORTOQ GREENLAND	42720	2206	42720	51
-1.1	4.2	ILULISSAT/JAKOBSHAVN GREENLAND	42160	2279	42160	52
-1.4	4.4	GDANSK-WRZESZCZ POLAND	121500	2049	121500	53
-3	2	NIKOLAEW UKRAINE	338460	1974	338460	54
-2.8	1.8	ROMA/FIUMICINO ITALY	162420	1906	162420	55
-1.09999999999999	2.2	BLUE HILL USA	744920	1923	744920	56
-1.3	1.1	WAHNSDORF GERMANY	94860	2050	94860	57
-4.9	0.399999999999999	KYIV UKRAINE	333450	2046	333450	58
-1	0.700000000000003	KAZAN RUSSIA	275950	2115	275950	59
-0.699999999999999	1.7	Klagenfurt-Flughafen AUSTRIA	112310	1978	112310	60
-4	3.4	Augsburg GERMANY	108520	1978	108520	61
-4.9	4.5	ARHANGELSK RUSSIA	225500	2188	225500	62
-3.4	4.9	BAYREUTH GERMANY	106877	1978	106877	63
-3.7	4.5	Bologna ITALY	161400	1906	161400	64
-3.9	1.1	Trento ITALY	160230	1978	160230	65
-0.699999999999999	3.3	Linz-Stadt AUSTRIA	110600	1978	110600	66
-0.800000000000001	3.2	Linz-Horsching AUSTRIA	110100	1978	110100	67
-3.9	1	Trento Sud ITALY	160207	1978	160207	68
-4.7	0.399999999999999	Bergen-Florida NORWAY	13170	2195	13170	69
-4.3	5	Oslo-Blindern NORWAY	14920	2122	14920	70
-0.300000000000001	5	HAILUOTO FINLAND	28740	2192	28740	71
-4.7	3.6	HOHENFURTH AUSTRIA	110207	1977	110207	72
