group	x	y
2849	-1136030400	19.1
2849	-1133352000	19.1
2849	-1130932800	19.5
2849	-1128254400	19.6
2849	-1125662400	19.5
2850	-1151928000	17.8
2850	-1149249600	19.1
2850	-1146571200	21.6
2850	-1143979200	25.8
2850	-1141300800	26.5
2850	-1138708800	21.7
2850	-1136030400	22.3
2850	-1133352000	21.7
2850	-1130932800	21.7
2850	-1128254400	21.8
2850	-1125662400	21.1
2850	-1122984000	17.7
2850	-1120392000	18.5
2850	-1117713600	20.1
2850	-1115035200	21.8
2850	-1112443200	24.8
2850	-1109764800	24.5
2850	-1107172800	22.1
2850	-1104494400	22.2
2850	-1101816000	21.4
2850	-1099396800	21.9
2850	-1096718400	20.2
2850	-1094126400	20.1
2850	-1091448000	17.2
2850	-1088856000	17.1
2850	-1086177600	18.1
2850	-1083499200	23.9
2850	-1080907200	25.5
2850	-1078228800	23.9
2850	-1075636800	23.2
2850	-1072958400	21.9
2850	-1070280000	21.8
2850	-1067774400	21.5
2850	-1065096000	19.9
2850	-1062504000	19.3
2850	-1059825600	17
2850	-1057233600	15.9
2850	-1054555200	18.4
2850	-1051876800	21.8
2850	-1049284800	25.9
2850	-1046606400	25.4
2850	-1044014400	22.2
2850	-1041336000	21.6
2850	-1038657600	21.8
2850	-1036238400	23.5
2850	-1033560000	22.3
2850	-1030968000	21.4
2850	-1028289600	19.3
2850	-1025697600	17.1
2850	-1023019200	19.7
2850	-1020340800	24.8
2850	-1017748800	25.9
2850	-1015070400	27.5
2850	-1012478400	24.4
2850	-1009800000	24.3
2850	-1007121600	24.6
2850	-1004702400	23
2850	-1002024000	24.1
2850	-999432000	21.4
2850	-996753600	18.9
2850	-994161600	19.6
2850	-991483200	20.8
2850	-988804800	23.2
2850	-986212800	25.8
2850	-983534400	24.7
2850	-980942400	23
2850	-978264000	22.1
2850	-975585600	22.7
2850	-973166400	21.4
2850	-970488000	21.1
2850	-967896000	19.8
2850	-965217600	16.9
2850	-962625600	17.9
2850	-959947200	19.8
2850	-957268800	22.1
2850	-954676800	25.1
2850	-951998400	24.6
2850	-949406400	22.9
2850	-946728000	21.9
2850	-944049600	21.9
2850	-941544000	22.3
2850	-938865600	22
2850	-936273600	20.3
2850	-933595200	18.6
2850	-931003200	17.3
2850	-928324800	20
2850	-925646400	23.7
2850	-923054400	23.7
2850	-920376000	24.3
2850	-917784000	24.3
2850	-915105600	22.8
2850	-912427200	24.1
2850	-910008000	23.3
2850	-907329600	23.4
2850	-904737600	20.9
2850	-902059200	18.9
2850	-899467200	18.5
2850	-896788800	20.2
2850	-894110400	24.3
2850	-891518400	26.7
2850	-888840000	24.8
2850	-886248000	23.5
2850	-883569600	23.4
2850	-880891200	23.1
2850	-878472000	23.1
2850	-875793600	21.7
2850	-873201600	20.9
2850	-870523200	19.9
2850	-867931200	18.1
2850	-865252800	21
2850	-862574400	23.7
2850	-859982400	24.2
2850	-857304000	24.2
2850	-854712000	23.4
2850	-852033600	21.8
2850	-849355200	21.8
2850	-846936000	22.6
2850	-844257600	22.9
2850	-841665600	20.9
2850	-838987200	17.7
2850	-836395200	18.5
2850	-833716800	21.1
2850	-831038400	22.7
2850	-828446400	25.2
2850	-825768000	25.1
2850	-823176000	23.2
2850	-820497600	23.1
2850	-817819200	22.3
2850	-815313600	21.9
2850	-812635200	21.9
2850	-810043200	20.1
2850	-807364800	19.2
2850	-804772800	18.9
2850	-802094400	20.7
2850	-799416000	24.2
2850	-796824000	26
2850	-794145600	23.8
2850	-791553600	22.7
2850	-788875200	22
2850	-786196800	22.3
2850	-783777600	22.6
2850	-781099200	22.2
2850	-778507200	20.1
2850	-775828800	16.4
2850	-773236800	17.7
2850	-770558400	18.7
2850	-767880000	22.1
2850	-765288000	26.7
2850	-762609600	24.3
2850	-760017600	24.1
2850	-757339200	23.3
2850	-754660800	22.9
2850	-752241600	22.2
2850	-749563200	21.9
2850	-746971200	20.6
2850	-744292800	17.1
2850	-741700800	17.3
2850	-739022400	18.7
