group	clickSelects
0	919540
1	919540
2	919540
3	919540
4	919500
5	918430
6	918430
7	918430
8	918430
9	918430
10	918430
11	918430
12	918430
13	918430
14	918430
15	918430
16	918430
17	918430
18	918430
19	918430
20	918430
21	916990
22	917890
23	916990
24	917890
25	916990
26	917890
27	916990
28	917890
29	916990
30	917890
31	916990
32	917890
33	916990
34	917890
35	916990
36	916990
37	916990
38	917890
39	916990
40	917890
41	916990
42	917890
43	916990
44	916990
45	916990
46	916990
47	916990
48	916990
49	916990
50	916990
51	916990
52	916990
53	916590
54	916600
55	916800
56	916830
57	916900
58	916600
59	916800
60	916830
61	916900
62	916800
63	916830
64	916800
65	916830
66	916800
67	916830
68	916800
69	916830
70	916800
71	916800
72	916800
73	915540
74	915580
75	915540
76	915580
77	915540
78	915580
79	915540
80	915580
81	915580
82	915580
83	915540
84	915540
85	915540
86	915540
87	915540
88	915540
89	915540
90	915540
91	915540
92	915540
93	915540
94	915540
95	915540
96	915540
97	915540
98	915540
99	915540
100	915540
101	915540
102	915540
103	915540
104	942990
105	942990
106	942830
107	942850
108	942870
109	942910
110	942920
111	942940
112	952830
113	952840
114	952850
115	952910
116	952920
117	959967
118	942830
119	942850
120	942870
121	942910
122	942920
123	942940
124	952830
125	952840
126	952850
127	952920
128	959967
129	942830
130	942850
131	942870
132	942910
133	942920
134	952840
135	952850
136	952920
137	959967
138	942830
139	942850
140	942870
141	942920
142	952830
143	952840
144	952850
145	952910
146	952920
147	959967
148	942850
149	942870
150	942910
151	952830
152	952840
153	952850
154	952920
155	942830
156	942850
157	942870
158	942910
159	942920
160	952830
161	952840
162	952850
163	952910
164	959967
165	942830
166	942850
167	942910
168	942920
169	952830
170	952840
171	952850
172	952920
173	959967
174	942830
175	942850
176	942910
177	942920
178	952830
179	952850
180	952920
181	959967
182	942850
183	942920
184	952830
185	952850
186	952910
187	959967
188	942850
189	942920
190	952830
191	952850
192	952920
193	959967
194	942850
195	942920
196	952830
197	952850
198	952910
199	952920
200	959967
201	942850
202	942920
203	952830
204	952910
205	952920
206	959967
207	942920
208	952830
209	952910
